folder_name,audio_name,audio_url,github_audio_url,cdnjs_url,status,detected_content_type
ali-fani/,ziyarat-ashura,https://imamandscience.com/wp-content/uploads/2025/03/Ziyarat-Ashura-Ali-Fani-%D8%B9%D9%84%D9%8A-%D9%81%D8%A7%D9%86%D9%8A-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%B9%D8%A7%D8%B4%D9%88%D8%B1%D8%A7%D8%A1-%D8%B2%DB%8C%D8%A7%D8%B1%D8%AA-%D8%B9%D8%A7%D8%B4%D9%88%D8%B1%D8%A7-%D8%B9%D9%84%DB%8C-%D9%81%D8%A7%D9%86%DB%8C.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/main/ali-fani/ziyarat-ashura.mp3,https://cdn.jsdelivr.net/gh/alihusains/ghadir-media@main/ali-fani/ziyarat-ashura.mp3,already_exists,audio/mpeg
ali-fani/,ziyarat-waritha,https://imamandscience.com/wp-content/uploads/2025/03/Dua-Ahd-EN-SUB-Ali-Fani.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/main/ali-fani/ziyarat-waritha.mp3,https://cdn.jsdelivr.net/gh/alihusains/ghadir-media@main/ali-fani/ziyarat-waritha.mp3,already_exists,audio/mpeg
popular-duas,dua-e-ahad,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-ahad.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-ahad.mp3,,,
popular-duas,dua-e-alqamah,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-alqamah.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-alqamah.mp3,,,
ramadan-duas,dua-e-bahaa,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-bahaa.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-bahaa.mp3,,,
popular-duas,dua-e-faraj,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-faraj.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-faraj.mp3,,,
popular-duas,dua-e-hazeen,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-hazeen.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-hazeen.mp3,,,
ramadan-duas,dua-e-iftitah,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-iftitah.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-iftitah.mp3,,,
popular-duas,dua-e-ehtejab,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-ehtejab.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-ehtejab.mp3,,,
ramadan-duas,dua-e-jawshan-e-kabeer,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-jawshan-e-kabeer.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-jawshan-e-kabeer.mp3,,,
